# AZD0780 (AZN): an oral small-molecule PCSK9 inhibitor, once daily, in Phase 3 AZURE-LDL
# (3,103 patients, primary completion 11 January 2027). Phase 2 PURSUIT cut LDL-C by up to
# 50.7% placebo-adjusted at week 12 on 30mg (JACC). The price is the first approved oral in
# the class rather than the injectables, because that price is published and the injectable
# anchor is stale by this asset's launch.
ticker,brand,indication,region,scenario,key,year,value,text_value,unit,source,note
AZN,AZD0780,,US,base,beta,,0.56,,,"computed from 261 weekly returns vs S&P 500, Blume-adjusted",
AZN,AZD0780,,US,base,cogs_pct,,0.181,,share of revenue,"AZN FY2025, from the filed lines",
AZN,AZD0780,,US,base,cost_of_debt,,0.056,,,"ICE BofA A-rated US corporate effective yield (FRED BAMLC0A3CAEY), 2026-09-16: 5.60%. Refreshed with the data (fetchers/rates_fred.py), so the rate a valuation uses is the one the market last quoted rather than the one it was written on",
AZN,AZD0780,,US,base,debt_weight,,0.054933,,,"filed TotalDebt of 29,622mm USD at 2025-12-31 over debt plus market capitalisation",
AZN,AZD0780,,US,base,erp,,0.0414,,,"Damodaran implied US equity risk premium, 2026-09-01: 4.14% on the trailing twelve month with adjusted payout basis, against his own 4.75% US Treasury. The 0.22% US default spread is not added back, since this book discounts at the raw ten-year (pages.stern.nyu.edu/~adamodar/New_Home_Page/home.htm)",
AZN,AZD0780,,US,base,other_costs_pct,,-0.04717289937840344,,share of revenue,"derived: AstraZeneca's free cash conversion against what its filed expense lines leave. Restated before interest: AZN paid $3,710mm of interest inside operating cash flow over 2023 to 2025, 2.34% of revenue. The free cash flow above is struck after it and the valuation already charges the debt by subtracting net debt, so the charge falls by that much, from 1.30% to 0.00%. Restated at replacement capex: AZN spent $6,095mm on plant over 2023 to 2025 against $2,411mm of plant depreciation, 2.32% of revenue above what keeps the plant running. Taken at depreciation, the charge stays nil. Restated with selling costs: SG&A now carries AZN's filed selling or distribution costs, 0.99% of revenue this charge was absorbing, so it falls from 0.00% to nil. The filed lines alone now leave less than the cash the company made before interest and at replacement capex, and a charge below nil would credit the book with cash its own costs do not leave. Checked without one-off cash: deal payments are booked under investing, so free cash flow never carried them, and no settlement or transition tax is stated for the window, so the charge stands. Restated to the amortisation floor: the filed cost lines leave a 22.75% pre-tax margin where the cash over 2023 to 2025 supports 27.47%, so the charge rebuilds at -4.72%. It was held at nil, but AZN books $4,207mm of non-cash amortisation of acquired intangibles inside its cost lines in FY2025 (0001104659-26-019130), 7.16% of revenue, so the charge takes the rebuilt figure: -4.72%. Checked without working capital build: no change in payables on file from the cash flow statement for every year, so the charge stands.",
AZN,AZD0780,,US,base,rd_pct,,0.2423,,share of revenue,"AZN FY2025, from the filed lines",
AZN,AZD0780,,US,base,risk_free,,0.0501,,,"10-year Treasury constant maturity (FRED DGS10), 2026-09-16: 5.01%. Refreshed with the data (fetchers/rates_fred.py), so the rate a valuation uses is the one the market last quoted rather than the one it was written on",
AZN,AZD0780,,US,base,sga_pct,,0.34920580874716967,,share of revenue,"AZN FY2025, from the filed lines. Restated with selling costs: the SG&A line on file, $19,933mm for FY2025, leaves out the $579mm of selling or distribution costs AZN reports as a line of its own, tagged as DistributionCosts (20-F 0001104659-26-019130, SEC financial statement data sets), so SG&A rises from 33.93% to 34.92% of revenue.",
AZN,AZD0780,,US,base,tax_rate,,0.1377,,effective rate,aggregate effective rate over the five years to 2025,
