# Airsupra (AZN). 166mm USD in FY2025.
#
# Marketed, anchored on the reported year and grown against the same product axis a
# year earlier, both from the SEC financial statement data sets.
#
# Seeds are insert-only. Edit a number in the terminal, not here.
ticker,brand,indication,region,scenario,key,year,value,text_value,unit,source,note
AZN,Airsupra,,US,base,therapy_mode,,,marketed,,approved and selling,no patient funnel is rebuilt for a product that files its own sales
AZN,Airsupra,,US,base,base_revenue,,166.0,,mm USD,"AZN FY2025 reported product revenue, from the annual report product axis (sec_fsds)",the anchor
AZN,Airsupra,,US,base,revenue_growth_pct,,1.515152,,"annual, near term","AZN FY2025 20-F product axis (sec_fsds), product sales plus the alliance revenue the same filing tags separately: $166mm in FY2025 against $66mm in FY2024","the quarter against the same quarter a year before, which is the most recent comparison this filer states"
AZN,Airsupra,,US,base,revenue_ceiling_musd,,1000,,mm USD,"an as-needed rescue inhaler, so the pool is asthma itself rather than its severe tail: about 20mm US adults. Airsupra cost Medicare $961 a beneficiary in 2024, which is a rescue-inhaler price and two orders of magnitude below the biologics above it","5% of US adults with asthma is the input, about 1mm patients and $1bn. The volume opportunity is far larger and the price far smaller than anything else in this portfolio, and the constraint is displacing albuterol, which is generic and costs almost nothing"
AZN,Airsupra,,US,base,terminal_growth_pct,,0.0,,"annual, long run",the engine's terminal value is a zero-growth perpetuity,faded to flat
AZN,Airsupra,,US,base,growth_fade_years,,5,,years,convention: a recent rate describes next year,
AZN,Airsupra,,US,base,forecast_start_year,,2026,,year,the year after the last reported full year,
AZN,Airsupra,,US,base,forecast_years,,10,,years,set to run past the 2030 loss of exclusivity,
AZN,Airsupra,,US,base,pos,,1.0,,,approved and selling,"stated, because no development phase applies"
AZN,Airsupra,,US,base,cogs_pct,,0.181,,share of revenue,"AZN FY2025, from the filed lines",
AZN,Airsupra,,US,base,sga_pct,,0.3393,,share of revenue,"AZN FY2025, from the filed lines",
AZN,Airsupra,,US,base,rd_pct,,0.2423,,share of revenue,"AZN FY2025, from the filed lines",
AZN,Airsupra,,US,base,other_costs_pct,,0.013002,,share of revenue,derived: AZN turned 19.35% of revenue into free cash over 2023 to 2025 against the 20.5% its filed expense lines leave,"amortisation, restructuring and capital spending, none of which the filed lines carry"
AZN,Airsupra,,US,base,tax_rate,,0.1377,,effective rate,"aggregate effective rate over the 5 years to 2025 with positive pre-tax income, taken as pre-tax income as filed",
AZN,Airsupra,,US,base,risk_free,,0.0466,,,"US 10Y Treasury (FRED DGS10), 2026-08-26",
AZN,Airsupra,,US,base,erp,,0.05,,,Damodaran US ERP estimate,
AZN,Airsupra,,US,base,beta,,0.56,,,"computed from 261 weekly returns vs S&P 500, 2021-W35 to 2026-W36, Blume-adjusted (0.34 raw)",
AZN,Airsupra,,US,base,cost_of_debt,,0.0523,,,ICE BofA A-rated US corporate effective yield (FRED),
AZN,Airsupra,,US,base,debt_weight,,0.054328,,,"filed TotalDebt of 29,622mm USD at 2025-12-31 over debt plus market capitalisation",
