# Praluent (REGN). 262mm USD in FY2025.
#
# Marketed, anchored on the reported year and grown against the same product axis a
# year earlier, both from the SEC financial statement data sets.
#
# Seeds are insert-only. Edit a number in the terminal, not here.
ticker,brand,indication,region,scenario,key,year,value,text_value,unit,source,note
REGN,Praluent,,US,base,therapy_mode,,,marketed,,approved and selling,no patient funnel is rebuilt for a product that files its own sales
REGN,Praluent,,US,base,base_revenue,,262.5,,mm USD,"REGN FY2025 reported product revenue, from the annual report product axis (sec_fsds)",the anchor
REGN,Praluent,,US,base,revenue_growth_pct,,0.196396,,"annual, near term","Regeneron's second quarter 2026 earnings exhibit (0000872589-26-000023, filed 2026-07-30): $265.6mm against $222.0mm in the same quarter a year before, which the filing states as 20%. The data sets carry no prior year for this filer, so the quarter it prints is the only comparison it makes","the quarter against the same quarter a year before, which is the most recent comparison this filer states"
REGN,Praluent,,US,base,terminal_growth_pct,,0.0,,"annual, long run",the engine's terminal value is a zero-growth perpetuity,faded to flat
REGN,Praluent,,US,base,growth_fade_years,,5,,years,convention: a recent rate describes next year,
REGN,Praluent,,US,base,forecast_start_year,,2026,,year,the year after the last reported full year,
REGN,Praluent,,US,base,forecast_years,,10,,years,set to run past the 2028 loss of exclusivity,
REGN,Praluent,,US,base,pos,,1.0,,,approved and selling,"stated, because no development phase applies"
REGN,Praluent,,US,base,cogs_pct,,0.0,,share of revenue,"REGN FY2025, from the filed lines",
REGN,Praluent,,US,base,sga_pct,,0.1882,,share of revenue,"REGN FY2025, from the filed lines",
REGN,Praluent,,US,base,rd_pct,,0.4079,,share of revenue,"REGN FY2025, from the filed lines",
REGN,Praluent,,US,base,other_costs_pct,,0.091952,,share of revenue,derived: REGN turned 27.89% of revenue into free cash over 2023 to 2025 against the 36.1% its filed expense lines leave,"amortisation, restructuring and capital spending, none of which the filed lines carry"
REGN,Praluent,,US,base,tax_rate,,0.1058,,effective rate,"aggregate effective rate over the 6 years to 2025 with positive pre-tax income, taken as pre-tax income as filed",
REGN,Praluent,,US,base,risk_free,,0.0466,,,"US 10Y Treasury (FRED DGS10), 2026-08-26",
REGN,Praluent,,US,base,erp,,0.05,,,Damodaran US ERP estimate,
REGN,Praluent,,US,base,beta,,0.77,,,"computed from 261 weekly returns vs S&P 500, 2021-W35 to 2026-W36, Blume-adjusted (0.65 raw)",
REGN,Praluent,,US,base,cost_of_debt,,0.0523,,,ICE BofA A-rated US corporate effective yield (FRED),
REGN,Praluent,,US,base,debt_weight,,0.021715,,,"filed TotalDebt of 1,986mm USD at 2025-12-31 over debt plus market capitalisation",
