# Ceralasertib: carried at nil because its phase 3 failed, not because anything is missing.
ticker,brand,indication,region,scenario,key,year,value,text_value,unit,source,note
AZN,Ceralasertib,,US,base,therapy_mode,,,marketed,,"LATIFY, its only phase 3, missed its primary endpoint. Ceralasertib with Imfinzi did not improve overall survival against docetaxel in previously treated advanced non-small cell lung cancer, reported at the European Lung Cancer Congress in 2026","nil is the finding, not a gap. Seeded at nought so the asset stops reading as pipeline awaiting a pool, when what it is awaiting is a different trial"
AZN,Ceralasertib,,US,base,base_revenue,,0.0,,mm USD,"LATIFY, its only phase 3, missed its primary endpoint. Ceralasertib with Imfinzi did not improve overall survival against docetaxel in previously treated advanced non-small cell lung cancer, reported at the European Lung Cancer Congress in 2026","nil is the finding, not a gap. Seeded at nought so the asset stops reading as pipeline awaiting a pool, when what it is awaiting is a different trial"
AZN,Ceralasertib,,US,base,revenue_growth_pct,,0.0,,annual, near term,"LATIFY, its only phase 3, missed its primary endpoint. Ceralasertib with Imfinzi did not improve overall survival against docetaxel in previously treated advanced non-small cell lung cancer, reported at the European Lung Cancer Congress in 2026","nil is the finding, not a gap. Seeded at nought so the asset stops reading as pipeline awaiting a pool, when what it is awaiting is a different trial"
AZN,Ceralasertib,,US,base,pos,,0.0,, ,"LATIFY, its only phase 3, missed its primary endpoint. Ceralasertib with Imfinzi did not improve overall survival against docetaxel in previously treated advanced non-small cell lung cancer, reported at the European Lung Cancer Congress in 2026","nil is the finding, not a gap. Seeded at nought so the asset stops reading as pipeline awaiting a pool, when what it is awaiting is a different trial"
AZN,Ceralasertib,,US,base,forecast_start_year,,2026,,year,"LATIFY, its only phase 3, missed its primary endpoint. Ceralasertib with Imfinzi did not improve overall survival against docetaxel in previously treated advanced non-small cell lung cancer, reported at the European Lung Cancer Congress in 2026","nil is the finding, not a gap. Seeded at nought so the asset stops reading as pipeline awaiting a pool, when what it is awaiting is a different trial"
AZN,Ceralasertib,,US,base,forecast_years,,10,,years,"LATIFY, its only phase 3, missed its primary endpoint. Ceralasertib with Imfinzi did not improve overall survival against docetaxel in previously treated advanced non-small cell lung cancer, reported at the European Lung Cancer Congress in 2026","nil is the finding, not a gap. Seeded at nought so the asset stops reading as pipeline awaiting a pool, when what it is awaiting is a different trial"
AZN,Ceralasertib,,US,base,sga_pct,,0.349206,,share of revenue,"AZN FY2025, from the filed lines. Restated with selling costs: the SG&A line on file, $19,933mm for FY2025, leaves out the $579mm of selling or distribution costs AZN reports as a line of its own, tagged as DistributionCosts (20-F 0001104659-26-019130, SEC financial statement data sets), so SG&A rises from 33.93% to 34.92% of revenue.",
AZN,Ceralasertib,,US,base,rd_pct,,0.2423,,share of revenue,"AZN FY2025, from the filed lines",""
AZN,Ceralasertib,,US,base,other_costs_pct,,-0.047173,,share of revenue,"derived: AstraZeneca's free cash conversion against what its filed expense lines leave. Restated before interest: AZN paid $3,710mm of interest inside operating cash flow over 2023 to 2025, 2.34% of revenue. The free cash flow above is struck after it and the valuation already charges the debt by subtracting net debt, so the charge falls by that much, from 1.30% to 0.00%. Restated at replacement capex: AZN spent $6,095mm on plant over 2023 to 2025 against $2,411mm of plant depreciation, 2.32% of revenue above what keeps the plant running. Taken at depreciation, the charge stays nil. Restated with selling costs: SG&A now carries AZN's filed selling or distribution costs, 0.99% of revenue this charge was absorbing, so it falls from 0.00% to nil. The filed lines alone now leave less than the cash the company made before interest and at replacement capex, and a charge below nil would credit the book with cash its own costs do not leave. Checked without one-off cash: deal payments are booked under investing, so free cash flow never carried them, and no settlement or transition tax is stated for the window, so the charge stands. Restated to the amortisation floor: the filed cost lines leave a 22.75% pre-tax margin where the cash over 2023 to 2025 supports 27.47%, so the charge rebuilds at -4.72%. It was held at nil, but AZN books $4,207mm of non-cash amortisation of acquired intangibles inside its cost lines in FY2025 (0001104659-26-019130), 7.16% of revenue, so the charge takes the rebuilt figure: -4.72%. Checked without working capital build: no change in payables on file from the cash flow statement for every year, so the charge stands.",
AZN,Ceralasertib,,US,base,tax_rate,,0.1377,,effective rate,"aggregate effective rate over the five years to 2025",""
AZN,Ceralasertib,,US,base,risk_free,,0.0501,,,"10-year Treasury constant maturity (FRED DGS10), 2026-09-16: 5.01%. Refreshed with the data (fetchers/rates_fred.py), so the rate a valuation uses is the one the market last quoted rather than the one it was written on",
AZN,Ceralasertib,,US,base,erp,,0.05,,,"Damodaran US ERP estimate",""
AZN,Ceralasertib,,US,base,beta,,0.56,,,"computed from 261 weekly returns vs S&P 500, Blume-adjusted",""
AZN,Ceralasertib,,US,base,cost_of_debt,,0.056,,,"ICE BofA A-rated US corporate effective yield (FRED BAMLC0A3CAEY), 2026-09-16: 5.60%. Refreshed with the data (fetchers/rates_fred.py), so the rate a valuation uses is the one the market last quoted rather than the one it was written on",
AZN,Ceralasertib,,US,base,debt_weight,,0.054933,,,"filed TotalDebt of 29,622mm USD at 2025-12-31 over debt plus market capitalisation",""
