# Investigational varicella vaccine (GSK).
# GSK'116 (GSK4178116), GSK's varicella new seed vaccine: a live attenuated chickenpox vaccine derived from an Oka strain, for children from 12 months. Four Phase 3 trials, all sponsored by GSK and all against Merck's Varivax: NCT06855160 (IM with Priorix, n=911, primary completion 2026-09-10), NCT06693895 (safety, n=750, 2026-11-23), NCT06806137 (second dose, n=600, 2026-12-14) and NCT06740630 (lot consistency, n=1,840, 2026-12-25). GSK's Q2 2026 results list it in phase III with no partner.
# Modelled: US monovalent varicella doses. Merck is the only US maker of varicella and MMRV vaccine (Varivax, ProQuad). Since October 2025 the first dose under age four is standalone varicella, and ProQuad takes about 80% of second doses, so the course is 1.2 monovalent doses per vaccinated child, priced at Varivax parity. Uptake and ramp come from GSK's own Priorix, which entered Merck's M-M-R II monopoly in 2022 at price parity and has held at least 14% of that segment since 2025.
# Not modelled: ex-US, where GSK already sells Varilrix inside its Established Vaccines line, and GSK'371, the MMRV new seed vaccine (book asset 5094, no seed), which would compete for the second doses left out here. LOE is left to the engine; a vaccine carries no erosion.
#
# Written 2026-09-24 on branch claude/youthful-curie-bux19h. Verified and corrected 2026-09-26 by a reader who reopened every source: uptake re-anchored on Priorix's own segment, course cut from two doses to 1.2, the June 2026 CDC list and a 54% VFC share, cost of goods per course added, vaccine erosion rows added, ex-US removed, first full year moved to the book's rule.
# Company-level rows copied from gsk_anoro_ellipta.csv.
#
# Seeds are insert-only. Edit a number in the terminal, not here.
ticker,brand,indication,region,scenario,key,year,value,text_value,unit,source,note
GSK,Investigational varicella vaccine,,US,base,beta,,0.55,,,"computed from 261 weekly returns vs S&P 500, 2021-W35 to 2026-W36, Blume-adjusted (0.33 raw)",
GSK,Investigational varicella vaccine,,US,base,cogs_pct,,0.276,,share of revenue,"GSK FY2025, from the filed lines",
GSK,Investigational varicella vaccine,,US,base,cost_of_debt,,0.056,,,"ICE BofA A-rated US corporate effective yield (FRED BAMLC0A3CAEY), 2026-09-16: 5.60%. Refreshed with the data (fetchers/rates_fred.py), so the rate a valuation uses is the one the market last quoted rather than the one it was written on",
GSK,Investigational varicella vaccine,,US,base,debt_weight,,0.194899,,,"filed TotalDebt of 14,453mm GBP at 2025-12-31 over debt plus market capitalisation",
GSK,Investigational varicella vaccine,,US,base,erp,,0.0414,,,"Damodaran implied US equity risk premium, 2026-09-01: 4.14% on the trailing twelve month with adjusted payout basis, against his own 4.75% US Treasury. The 0.22% US default spread is not added back, since this book discounts at the raw ten-year (pages.stern.nyu.edu/~adamodar/New_Home_Page/home.htm)",
GSK,Investigational varicella vaccine,,US,base,other_costs_pct,,-0.024734,,share of revenue,"derived: GSK turned 18.02% of revenue into free cash over 2023 to 2025 against the 19.3% its filed expense lines leave. Checked before interest: interest paid is booked under financing, so free cash flow is already struck before interest, so the charge stands. Restated at replacement capex: GSK spent 4,061mm GBP on plant over 2023 to 2025 against 2,628mm GBP of plant depreciation, 1.52% of revenue above what keeps the plant running. Taken at depreciation, the charge falls from 1.44% to 0.00%. Restated without one-off cash: GSK's free cash flow over 2023 to 2025 carried 1,867mm GBP of legal settlements. None recurs, so the charge stays nil. Restated to the amortisation floor: the filed cost lines leave a 21.54% pre-tax margin where the cash over 2023 to 2025 supports 23.77%, so the charge rebuilds at -2.23%. It was held at nil, but GSK books 808mm GBP of non-cash amortisation of acquired intangibles inside its cost lines in FY2025 (0001131399-26-000004), 2.47% of revenue, so the charge takes the rebuilt figure: -2.23%. Restated without working capital build: over 2023 to 2025 GSK's cash flow statement shows receivables up 1,109mm GBP, inventories up 858mm GBP, payables down 63mm GBP, a working capital build of 2,030mm GBP, 2.15% of revenue. Growth ties that cash up once, not on every product for ever, so the charge falls from -2.23% to -2.47%.","amortisation, restructuring and capital spending, none of which the filed lines carry"
GSK,Investigational varicella vaccine,,US,base,rd_pct,,0.2304,,share of revenue,"GSK FY2025, from the filed lines",
GSK,Investigational varicella vaccine,,US,base,risk_free,,0.0501,,,"10-year Treasury constant maturity (FRED DGS10), 2026-09-16: 5.01%. Refreshed with the data (fetchers/rates_fred.py), so the rate a valuation uses is the one the market last quoted rather than the one it was written on",
GSK,Investigational varicella vaccine,,US,base,sga_pct,,0.2782,,share of revenue,"GSK FY2025, from the filed lines",
GSK,Investigational varicella vaccine,,US,base,tax_rate,,0.1037,,effective rate,"aggregate effective rate over the 6 years to 2025 with positive pre-tax income, taken as pre-tax income as filed",
