# Saxenda (NVO). 3,241mm DKK in FY2025.
#
# Marketed, anchored on the reported year and grown against the same product axis a
# year earlier, both from the SEC financial statement data sets.
#
# Seeds are insert-only. Edit a number in the terminal, not here.
ticker,brand,indication,region,scenario,key,year,value,text_value,unit,source,note
NVO,Saxenda,,US,base,therapy_mode,,,marketed,,approved and selling,no patient funnel is rebuilt for a product that files its own sales
NVO,Saxenda,,US,base,base_revenue,,3241.0,,mm DKK,"NVO FY2025 reported product revenue, from the annual report product axis (sec_fsds)","Novo reports in Danish kroner. The figure is as filed, not converted."
NVO,Saxenda,,US,base,revenue_growth_pct,,-0.532997,,"annual, near term","the same product axis a year earlier: 3,241 against 6,940 a year before, both in DKK from the SEC financial statement data sets, tagged in the same filing",the last reported year over the one before it
NVO,Saxenda,,US,base,terminal_growth_pct,,0.0,,"annual, long run",the engine's terminal value is a zero-growth perpetuity,faded to flat
NVO,Saxenda,,US,base,growth_fade_years,,5,,years,convention: a recent rate describes next year,
NVO,Saxenda,,US,base,forecast_start_year,,2026,,year,the year after the last reported full year,
NVO,Saxenda,,US,base,forecast_years,,17,,years,set to run past the 2037 loss of exclusivity,
NVO,Saxenda,,US,base,pos,,1.0,,,approved and selling,"stated, because no development phase applies"
NVO,Saxenda,,US,base,cogs_pct,,0.1902,,share of revenue,"NVO FY2025, from the filed lines",
NVO,Saxenda,,US,base,sga_pct,,0.0193,,share of revenue,"NVO FY2025, from the filed lines",
NVO,Saxenda,,US,base,rd_pct,,0.1684,,share of revenue,"NVO FY2025, from the filed lines",
NVO,Saxenda,,US,base,other_costs_pct,,0.295858,,share of revenue,derived: NVO turned 25.95% of revenue into free cash over 2023 to 2025 against the 49.5% its filed expense lines leave,"amortisation, restructuring and capital spending, none of which the filed lines carry"
NVO,Saxenda,,US,base,tax_rate,,0.2044,,effective rate,"aggregate effective rate over the 6 years to 2025 with positive pre-tax income, taken as pre-tax income as filed",
NVO,Saxenda,,US,base,risk_free,,0.0466,,,"US 10Y Treasury (FRED DGS10), 2026-08-26",
NVO,Saxenda,,US,base,erp,,0.05,,,Damodaran US ERP estimate,
NVO,Saxenda,,US,base,beta,,0.85,,,"computed from 261 weekly returns vs S&P 500, 2021-W35 to 2026-W36, Blume-adjusted (0.78 raw)",
NVO,Saxenda,,US,base,cost_of_debt,,0.0523,,,ICE BofA A-rated US corporate effective yield (FRED),
NVO,Saxenda,,US,base,debt_weight,,0.015446,,,"filed TotalDebt of 130,958mm DKK at 2025-12-31 over debt plus market capitalisation",
